Team1,Team2,Map,Result
Team Vitality,Team Heretics,Abyss,1
T1,DRX,Lotus,1
T1,DRX,Haven,0
T1,DRX,Fracture,0
MIBR,KRÜ Esports,Bind,0
MIBR,KRÜ Esports,Abyss,1
MIBR,KRÜ Esports,Split,1
Sentinels,G2 Esports,Abyss,0
Sentinels,G2 Esports,Pearl,0
LOUD,KRÜ Esports,Bind,0
LOUD,KRÜ Esports,Haven,0
LEVIATÁN,MIBR,Lotus,1
LEVIATÁN,MIBR,Pearl,0
LEVIATÁN,MIBR,Split,0
TALON,Nongshim RedForce,Lotus,0
TALON,Nongshim RedForce,Bind,1
TALON,Nongshim RedForce,Split,1
NRG Esports,KRÜ Esports,Abyss,0
NRG Esports,KRÜ Esports,Haven,1
NRG Esports,KRÜ Esports,Bind,0
Evil Geniuses,MIBR,Abyss,0
Evil Geniuses,MIBR,Split,0
DetonatioN FocusMe,Paper Rex,Abyss,1
DetonatioN FocusMe,Paper Rex,Pearl,1
Nongshim RedForce,Rex Regum Qeon,Fracture,0
Nongshim RedForce,Rex Regum Qeon,Lotus,1
Nongshim RedForce,Rex Regum Qeon,Pearl,1
G2 Esports,LEVIATÁN,Pearl,1
G2 Esports,LEVIATÁN,Fracture,1
LOUD,Sentinels,Lotus,1
LOUD,Sentinels,Pearl,0
LOUD,Sentinels,Split,0
BBL Esports,Team Liquid,Bind,0
BBL Esports,Team Liquid,Pearl,1
BBL Esports,Team Liquid,Split,0
FUT Esports,FNATIC,Abyss,1
FUT Esports,FNATIC,Fracture,1
T1,TALON,Fracture,1
T1,TALON,Bind,0
T1,TALON,Haven,1
GIANTX,Team Liquid,Fracture,0
GIANTX,Team Liquid,Split,0
Gentle Mates,FNATIC,Abyss,0
Gentle Mates,FNATIC,Fracture,0
FUT Esports,Team Vitality,Bind,0
FUT Esports,Team Vitality,Split,0
BBL Esports,Team Heretics,Pearl,0
BBL Esports,Team Heretics,Lotus,0
Global Esports,DetonatioN FocusMe,Abyss,0
Global Esports,DetonatioN FocusMe,Split,0
Rex Regum Qeon,Team Secret,Lotus,0
Rex Regum Qeon,Team Secret,Pearl,1
Rex Regum Qeon,Team Secret,Haven,1
Paper Rex,ZETA DIVISION,Lotus,1
Paper Rex,ZETA DIVISION,Fracture,1
Nongshim RedForce,BOOM Esports,Pearl,1
Nongshim RedForce,BOOM Esports,Bind,0
Nongshim RedForce,BOOM Esports,Lotus,1
Trace Esports,EDward Gaming,Lotus,1
Trace Esports,EDward Gaming,Bind,0
Trace Esports,EDward Gaming,Abyss,0
Trace Esports,EDward Gaming,Fracture,0
TALON,Global Esports,Split,0
TALON,Global Esports,Abyss,1
TALON,Global Esports,Lotus,1
100 Thieves,NRG Esports,Lotus,1
100 Thieves,NRG Esports,Pearl,0
100 Thieves,NRG Esports,Bind,0
KRÜ Esports,2Game Esports,Abyss,1
KRÜ Esports,2Game Esports,Split,1
Gentle Mates,KOI,Haven,1
Gentle Mates,KOI,Lotus,0
Gentle Mates,KOI,Pearl,1
Team Liquid,Apeks,Abyss,1
Team Liquid,Apeks,Pearl,0
Team Liquid,Apeks,Haven,1
Bilibili Gaming,EDward Gaming,Pearl,0
Bilibili Gaming,EDward Gaming,Haven,0
Bilibili Gaming,EDward Gaming,Lotus,0
Cloud9,MIBR,Lotus,1
Cloud9,MIBR,Abyss,0
Cloud9,MIBR,Pearl,0
FURIA,Evil Geniuses,Abyss,0
FURIA,Evil Geniuses,Fracture,0
FNATIC,Natus Vincere,Pearl,1
FNATIC,Natus Vincere,Fracture,0
FNATIC,Natus Vincere,Haven,1
Karmine Corp,GIANTX,Bind,1
Karmine Corp,GIANTX,Lotus,0
Karmine Corp,GIANTX,Fracture,0
Dragon Ranger Gaming,EDward Gaming,Haven,0
Dragon Ranger Gaming,EDward Gaming,Pearl,0
Bilibili Gaming,Trace Esports,Bind,0
Bilibili Gaming,Trace Esports,Haven,1
Bilibili Gaming,Trace Esports,Lotus,0
Team Heretics,Gentle Mates,Abyss,0
Team Heretics,Gentle Mates,Fracture,1
Team Heretics,Gentle Mates,Pearl,1
FUT Esports,Team Liquid,Pearl,1
FUT Esports,Team Liquid,Fracture,1
EDward Gaming,Xi Lai Gaming,Lotus,0
EDward Gaming,Xi Lai Gaming,Bind,1
